,순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
282,293,138080,오이솔루션,"61,800",600,1.0,"261,046","15,933,383,300","61,600","62,100","60,000","656,569,071,000",0.04,"10,624,095",,,
283,294,000020,동화약품,"23,450",450,2.0,"1,924,723","45,505,522,450","23,000","24,450","23,000","654,992,971,500",0.04,"27,931,470",,,
284,295,008490,서흥,"56,600",100,0.2,"54,797","3,090,077,000","56,800","57,000","56,000","654,811,795,800",0.04,"11,569,113",,,
285,296,032620,유비케어,"12,350",400,3.4,"2,342,812","28,542,749,650","11,950","12,550","11,800","644,634,666,650",0.04,"52,197,139",,,
286,297,033660,아주캐피탈,"11,200",-200,-1.8,"72,801","824,289,550","11,400","11,550","11,200","644,513,968,000",0.04,"57,545,890",,,
287,298,097520,엠씨넥스,"35,950","1,050",3.0,"723,113","25,857,398,700","35,750","36,200","35,150","642,192,177,900",0.04,"17,863,482",,,
288,299,210980,SK디앤디,"33,750","-1,150",-3.3,"147,401","5,083,578,100","34,600","35,550","33,750","640,918,035,000",0.03,"18,990,164",,,
289,300,064960,S&T모티브,"43,750",-50,-0.1,"48,621","2,122,556,550","43,150","44,350","42,950","639,762,200,000",0.03,"14,623,136",,,
290,301,089980,상아프론테크,"40,550","1,250",3.2,"494,995","19,866,201,350","40,200","41,250","39,000","637,639,220,750",0.03,"15,724,765",,,
291,302,151910,나노스,"4,290",-5,-0.1,"341,903","1,481,109,400","4,370","4,430","4,200","637,602,738,630",0.03,"148,625,347",,,
292,303,003380,하림지주,"6,850",-60,-0.9,"157,673","1,086,630,970","6,970","6,990","6,830","632,541,467,000",0.03,"92,341,820",,,
293,305,000640,동아쏘시오홀딩스,"103,000",0,0.0,"21,678","2,250,617,000","102,000","106,000","101,500","632,244,591,000",0.03,"6,138,297",,,
294,306,042700,한미반도체,"12,250",50,0.4,"1,560,660","19,154,708,800","12,200","12,600","11,950","630,893,387,250",0.03,"51,501,501",,,
295,307,035600,KG이니시스,"22,550",-150,-0.7,"291,037","6,571,586,150","23,000","23,000","22,250","629,244,986,700",0.03,"27,904,434",,,
296,308,052690,한전기술,"16,350",50,0.3,"65,783","1,076,417,450","16,300","16,550","16,200","624,897,000,000",0.03,"38,220,000",,,
297,309,095660,네오위즈,"28,300",-300,-1.0,"324,193","9,085,375,800","28,700","28,700","27,700","620,194,726,400",0.03,"21,915,008",,,
298,310,001820,삼화콘덴서,"59,500","4,600",8.4,"1,193,068","69,516,641,000","56,000","59,500","55,800","618,502,500,000",0.03,"10,395,000",,,
299,311,112040,위메이드,"36,800",150,0.4,"95,109","3,479,285,150","36,700","37,100","36,200","618,240,000,000",0.03,"16,800,000",,,
300,312,001630,종근당홀딩스,"123,000","7,000",6.0,"78,832","9,617,317,500","119,000","125,000","117,500","616,212,903,000",0.03,"5,009,861",,,
301,313,078600,대주전자재료,"41,500",-200,-0.5,"672,519","28,191,515,200","41,850","42,600","41,350","615,448,154,000",0.03,"14,830,076",,,
302,314,001880,대림건설,"27,750","-2,500",-8.3,"387,325","11,500,347,350","30,400","31,350","27,650","611,978,631,000",0.03,"22,053,284",,,
303,315,053800,안랩,"61,000","1,000",1.7,"83,693","5,106,171,100","60,700","61,700","60,400","610,845,155,000",0.03,"10,013,855",,,
304,316,065660,안트로젠,"68,200","1,200",1.8,"265,957","18,177,179,600","68,300","70,800","66,700","610,796,949,400",0.03,"8,955,967",,,
305,317,003060,에이프로젠제약,"1,530",-10,-0.6,"6,391,726","9,806,707,190","1,535","1,560","1,515","609,820,921,980",0.03,"398,575,766",,,
306,318,131970,테스나,"82,200","-4,000",-4.6,"686,268","57,905,134,300","85,100","88,300","82,000","609,477,818,400",0.03,"7,414,572",,,
